Detector;Year;Doctype;Publisher;Venue;Title;Citations;Altmetric;All Tips;Tortured Phrases;Assessor;PubPeer Users
suspect, tortured;2021;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2021 5th International Conference on Electronics, Communication and Aerospace Technology (ICECA);IMPROVED FACE RECOGNITION USING CONVOLUTIONAL NEURAL NETWORK WITH UNAIDED LEARNING;1;0;52;AI draws near • CNN engineering • PC vision • Programmed acknowledgment • acknowledgment exactness • acknowledgment execution • acknowledgment pace • blunder rate • closest component line (NFL) • completely associated layer • condition of-craftsmanship • consideration instrument • convolutional neural organization • crude information • design acknowledgment • discrete cosine change • example acknowledgment • extricates highlights • face acknowledgment • facial activity coding framework (FACS) • facial highlights • feedforward neural organization • feeling acknowledgment • forecast and arrangement • half breed framework • head part examination • head segment investigation • highlight vector • info picture • information picture • logistic relapse • man-made consciousness • misfortune layer • neural organization • obliged trio misfortune layer (CTLL) • outward appearance acknowledgment • picture preparing • pre-handling • preparation information • preparing and testing • preparing design • preparing information • preparing set • profound convolutional • recognizable proof • repetitive neural organizations • solo learning strategy • solo learning • unaided learning • profound learning AND deep learning;Cabanac;Nerita Vitiensis
clayFeet, suspect, tortured;2021;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2021 Second International Conference on Electronics and Sustainable Communication Systems (ICESC);Identification of Colorectal Cancer in pathological images Using CNN Algorithm;1;0;51;American Malignancy Society • PC vision • Transfer (move) learning • approval misfortune • baffling layer • bogus negative FN~5 • bogus positive FP~5 • bosom tumor • brought together learning body • commencement work • completely associated layer • component extraction • convolutional neural organization • counterfeit neural • crude (natural) information • cutting-edge execution • design acknowledgment • element extractor • exactness accuracy~5 • extricating highlights~20 • face acknowledgment • genuine negative TN~5 • genuine positive TP~5 • ground-truth names (comments) • highlight extraction • manual or semi-robotized client subordinate techniques • move learning • named information • neural organization • non-straight change • picture dealing with • picture grouping • picture handling • preparing and approval • preposterous benchmark • prescient model • profound CNN • profound deep CNNs • profound deep Convolutional Neural Networks • profound deep learning • recognition and recognizable proof • recognizable proof • secret (hidden) layers • straight change • subterranean insect circularity • to separate highlights • upheaval decline • wavelet highlights • profound learning AND deep learning;Cabanac;Nerita Vitiensis
suspect, tortured;2022;chapter;Springer Nature;Artificial Intelligence and Data Science;Underwater Image Restoration and Enhancement Based on Machine and Deep Learning Algorithms;0;0;50;Dark medium Earlier • Dark medium Prior • Gaussian clamor • PC vision • commotion levels • completely associated network • component pyramid organization • consideration instrument • convolutional neural organization • crude information • dimensionality decrease • discovery and acknowledgment of objects • dispersing and retention of light • dissemination and impression of light • dot clamor • dot commotion • exactness accuracy~5 • exactness, accuracy, and review • explicitness and affectability • fake neural • figuring asset • highlight extraction • histogram evening out • info picture • information picture • informational collection • informational index • irregular clamor • manufactured opening radar • misfortune capacity • misfortune work • multi-facet perceptron • neural organization • picture grouping • picture handling • picture shading reconstruction • preparation set • preparing set • remove highlights • shading amendment • shading mutilated • shading mutilation • shading pictures • shading remuneration • shading twisting • speculation capacity • squared blunder • water profundity • enhancement calculation AND optimiz*;Cabanac;Nerita Vitiensis
suspect, tortured;2021;chapter;Taylor & Francis;Data Science and Data Analytics;Machine and Deep Learning Techniques for Internet of Things Based Cloud Systems;0;0;50;AI calculation • DoS assault • Euclidean separation • arbitrary woodland • artificial neural organizations • backing vector machine • choice tree • concealed layer • crude information • cyber-assault • digital assault • disavowal of administration • discourse acknowledgement OR discourse acknowledgment • discourse acknowledgment • face acknowledgment • grouping and relapse • half breed model • help vector machine • highlight portrayal • image acknowledgment • in genuine time • include choice • info and yield • info information • informational collection • informational index • innocent Bayes • intermittent neural organizations • named information • neural associations • neural organization • organization assault • pre-preparing • preparation dataset • preparation information • preparation informational index • preparing information • shrewd home • shrouded layer • shrouded units • solo learning • yield layers • yield layer AND neural • directed learning AND supervised learning • profound learning AND deep learning • relapse strategies AND regression • picture acknowledgment AND image recognition;Cabanac;Guillaume Cabanac
suspect, tortured;2022;chapter;Taylor & Francis;IoT and AI Technologies for Sustainable Living;Text and Multimedia Mining through Machine Learning;0;0;49;AI calculation • Inclination boosting • K-closest neighbors • PC vision • administered AI • arbitrary woods • backing vector machine • choice tree • common language handling • commotion levels • component extraction • computer-based intelligence • counterfeit neural • dimensionality decrease • direct blend • direct relapse • distant detecting • distinguishing proof • exactness accuracy~5 • exactness and review • exactness, accuracy, review, and F1-score • example acknowledgment • feature choice • genuine esteemed • gullible Bayes • hyper otherworldly • information digging • information mining • information stockroom • irregularity identification • linear relapse • machine interpretation • misfortune capacity • misfortune work • neural organization • picture division • picture preparing • pre-handling • preparation information • preparing information • prescient model • recognizable proof • spam sifting • squared mistake • straight relapse • supposition examination • profound learning AND deep learning • content arrangement AND classification;Cabanac;Guillaume Cabanac, Solal Pirelli
clayFeet, suspect, tortured;2021;chapter;Elsevier;Artificial Intelligence to Solve Pervasive Internet of Things Issues;Chapter 9 Machine Learning and Internet of Things for Smart Processing;3;0;49;AI calculation • DDoS assault • Euclidean separation • affiliation rule mining • arrangement execution • attractive reverberation • botnet assault • choice tree • convolutional neural system • crude information • dimensionality decrease • disavowal of administration • electrical gadget • extricates highlights • fluffy C implies • fluffy grouping • half-breed approach • hereditary calculation • human-made consciousness • include choice • info picture • information distribution center • information mining • information picture • informational collection • picture division • picture grouping • picture handling • picture recovery • preparation information • preparing and testing datasets • preparing and testing • prescient model • profound CNN • profound neural system • recurrence band • shrewd lighting • sign to clamor • straight change • surface highlights • vitality utilization • brilliant AND keen AND savvy AND shrewd;Cabanac;N. H. Wise
suspect, tortured;2021;chapter;Springer Nature;Technical Advancements of Machine Learning in Healthcare;Big Data Application in Health Care: A Study;0;0;48;AI calculation • asthma assaults • bolster vector machine • bosom disease • bosom malignant • brilliant lattice • cardiovascular breakdown • choice tree • component extraction • computerized reasoning • concealed Markov • coronary illness • cutting edge sequencing • digital assault • dimensionality decrease • direct relapse • electronic wellbeing records • example acknowledgment • highlight extraction • huge information • include choice • information mining • information stockroom • informational collection • informational index • irregular timberland • irresistible infections • keen home • keen lattice • man-made brainpower • man-made consciousness • populace thickness • pre-handling • prescient model • recognizable proof • reconnaissance framework • savvy matrix • shrewd city • speed, assortment • brilliant AND keen AND savvy AND shrewd;Cabanac;N. H. Wise
clayFeet, suspect, tortured;2022;chapter;Springer Nature;Augmented Intelligence in Healthcare: A Pragmatic and Integrated Analysis;Effective Deep Learning Algorithms for Personalized Healthcare Services;0;0;47;AI calculation • Alzheimer's sickness • PC vision • administered learning • affectability and particularity • angle plummet • back proliferation • cardiovascular breakdown • concentrate highlight • crossbreed approaches • distinguishing proof framework • distinguishing proof • electronic wellbeing records • huge information • info and yield • info information • info picture • information and yield layers • information picture • informational collection • irregular backwoods • irresistible illnesses • loads and predispositions NOT COVID • picture division • picture handling • picture preparing • prescient model • profound organizations • registered tomography • regulated preparing • secret layer • secret neuron • solo learning • strategic relapse • yield layers • brilliant AND keen AND savvy AND shrewd • yield layer AND neural • profound learning AND deep learning • regulated learning AND supervised learning;Cabanac;Guillaume Cabanac
suspect, tortured;2021;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2021 IEEE Asia-Pacific Conference on Geoscience, Electronics and Remote Sensing Technology (AGERS);Design of Speech Device Software using Optical Character Recognition Method;0;0;47;Long Short-Term Memory organizations • PC vision • Windows Working Framework • approval dataset • attractive ink • bunch size • completely associated layer • component extraction • convolutional neural organization • disconnected OCR • discourse handling • discourse impedance • discourse synthesizer • enactment work • highlight extraction • info and yield • info picture • information picture • informational collection • intermittent neural organizations • loads and predispositions NOT COVID • message-to-discourse • neural organization • optical person • outwardly debilitated • pixel esteems • pre-handling • pre-preparing • preparation and approval sets • preparation dataset • preparation information • preparation set • preparing information • prescient model • profound convolutional • profound neural organization • profound organizations • regular language preparing • secret layer • text-to-discourse • transcribed digit • word blunders • yield layers • yield layer AND neural • approval information AND (validation test OR validation dataset);Cabanac;Nerita Vitiensis
suspect, tortured;2021;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2021 3rd International Conference on Advances in Computing, Communication Control and Networking (ICAC3N);A Review of Generative Pretraining from Pixels;1;0;47;PC vision • acknowledgment exactness • administered learning • assignment explicit dataset • completely associated layer • crude information • downstream errand • exactness accuracy~5 • frail supervision • inadequate self-considerations • information picture • informational collection • informational index • irregular request • machine interpretation • move learning • named information • named preparing information • neural organization • normal language handling • picture grouping • pre-getting ready methodologies • pre-prepared loads • pre-prepared model • pre-preparing • preparation dataset • preparation information • preparation set • preparing information • preparing pictures • prescient model • regular language preparing • regulated preparing • self-trained learning • shading pictures • solo component learning • solo learning • speculation capacity • unaided learning • unaided portrayal learning • unaided pre-preparing • move learning AND transfer learning • directed learning AND supervised learning • profound learning AND deep learning • regulated learning AND supervised learning • self-managed learning AND self-supervised learning;Cabanac;Nerita Vitiensis
suspect, tortured;2021;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2021 2nd International Conference on Smart Electronics and Communication (ICOSEC);Noise Reduction for Hyperspectral Image Classification using Deep Learning Technique;0;0;46;CNN engineering • PC vision • arrangement exactness • arrangement execution • bunch scanty portrayal • consideration system • convolutional neural organization • distant detecting • face acknowledgment • far off detecting • geological data framework • ghostly reach • hyperspectral picture • hyperspectral symbolism • information picture • informational collection • informational index • infrared reach • loads and inclinations • misfortune work • neural organization • otherworldly reach • phantom reach • phantom spatial system • picture division • picture grouping • picture inscribing • picture order • picture preparing • preparing and approval • preparing information • profound CNN • profound convolutional • retrogressive bearing • transcribed digit • unearthly closeness • unearthly groups • phantom groups AND spectral bands • exchange learning AND transfer learning • profound learning AND deep learning • picture arrangement AND image classification;Cabanac;Nerita Vitiensis
suspect, tortured;2020;article;Institute of Electrical and Electronics Engineers (IEEE);IEEE Access;Notice of Retraction: AI Techniques for COVID-19;93;10;46;AI calculation • Alzheimer's sickness • Parkinson's sickness • accuracy esteem • bolster vector machine • bosom malignant • collector working trademark • completely associated layer • computer-based intelligence • concealed layer • convolutional neural system • direct relapse • distinguishing proof • extreme intense respiratory • figuring asset • huge information • human-PC communications • informational collection • irresistible illnesses • isolated into two gatherings • locale of intrigue • lung knob • man-made brainpower • misfortune work • nucleic corrosive • picture handling • picture preparing • pixel esteems • populace size • pre-handling • preparation dataset • programming bundle • shrouded layer • slope plunge • tainted patients • twofold tree • upper appendage • social removing AND COVID;Cabanac;N. H. Wise, Salsola Zygophylla, Enteroctopus Dofleini, Guillaume Cabanac
suspect, tortured;2019;chapter;Elsevier;Deep Learning and Parallel Computing Environment for Bioengineering Systems;Chapter 10 Miracle of Deep Learning Using IoT;4;0;46;PC vision • as pursues • bouncing boxes • commented on information • concealed layer • convolution neural system • crude information • dimensionality decrease • discourse acknowledgement OR discourse acknowledgment • discourse acknowledgment • distinguishing proof • down-examining • full association layer • highlight extraction • huge information • info and yield • info layer • information picture • informational collection • informational index • machine interpretation • man-made intelligence • misfortune capacity • misfortune work • number juggling • picture grouping • pre-handling • pre-preparing • preparation set • profound CNN • profound neural system • recognizable proof • reconnaissance framework • softmax misfortune • straight change • straight relapse • to separate highlights • transcribed digit • yield layers • yield layer AND neural • profound learning AND deep learning • picture arrangement AND image classification;Cabanac;Guillaume Cabanac
clayFeet, tortured;2022;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2022 International Conference on Electronics and Renewable Systems (ICEARS);A Spatiotemporal-Based Intrusion Detection Model;0;0;45;Organizational Disruption Recognition Framework • actuation work • angle plummet • bacterial research rationalization calculation • blunder rate • bogus negative FN~5 • break recognizable proof • circling neural organization • complete association layer • convolutional neural association • convolutional neural organization • cross entropy work • exactness and review • exception recognition • full affiliation layer • full association layer • implicit calculation of K • info door • info information • informational collection • informational index • initiation work • interference recognizable proof • interrupt localization • interruption discovery • issue of inclination vanishing and blast • long momentary memory • mystery layer • neglecting entryway • neural associations • neural organization • non-direct combination • peculiarity discovery • preparing information • profound deep learning • recognizable proof • result door • result entryway • trueness, accuracy, revision • back spread AND neural • preparation stage AND training stage;Cabanac;Nerita Vitiensis, Anoscopus Serratulae
suspect, tortured;2021;article;IOP Publishing;Journal of Physics Conference Series;Noval Approach For Chronic Kidney Disease Using Machine Learning Methodology;2;0;45;AI calculation • K-closest neighbors • PC vision • acknowledgment execution • actuation work • arbitrary woodland • bogus negative FN~5 • bogus positive FP~5 • calculated relapse • choice tree • coronary illness • credulous Bayes • disarray grid • distant detecting • distinguishing proof • electronic wellbeing records • exploratory information examination • extricating highlights~20 • feed forward neural organization • genuine negative TN~5 • genuine positive TP~5 • guileless Bayes • highlight extraction • highlight vector • hyperspectral picture • information mining • informational collection • informational index • irregular backwoods • irregular woodland • kidney sickness • neural associations • neural organization • persistent kidney sickness • pre-handling • preparing information • shrouded layer • solo learning • speculation execution • straight relapse • strategic relapse • uphold vector machine • yield layers • yield layer AND neural;Cabanac;Guillaume Cabanac, Research Integrity, Kim Eggleton
suspect, tortured;2022;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2022 Second International Conference on Computer Science, Engineering and Applications (ICCSEA);Bell Pepper Crop Disease Detection Using Convolution Neural Network;0;0;44;Exactness and Loss esteem • PC vision • brain organization • chime pepper • convolution brain network • convolution brain organization • crude information • distinguishing proof of plant illnesses • distinguishing proof • example acknowledgment • exchange learning technique • fake brain organization • fluffy rationale • hereditary calculation • highlight extraction • hyperspectral symbolism • identification and arrangement • illness distinguishing proof • infection recognizable proof • information picture • informational collection • informational index • k-implies grouping • man-made reasoning • misfortune esteem • move learning • picture division • picture handling • picture order • pixel esteems • plant ailments • pre-handling • preparation set • preparing set and confirmation set • preparing set • profound convolutional • programmed ID • recognizable proof of infection • recognizable proof • sickness recognizable proof • straight relapse • profound learning AND deep learning • picture acknowledgment AND image recognition;Cabanac;Nerita Vitiensis
suspect, tortured;2021;article;Institute of Advanced Engineering and Science;Indonesian Journal of Electrical Engineering and Computer Science;A comparative and comprehensive study of prediction of Parkinson’s disease;0;0;44;10-crease cross • AI calculation • Alzheimer's infection • K-closest neighbors • Parkinson's illness • Parkinson's infection • Parkinson's sickness • Programmed acknowledgment • R2 esteem • arbitrary backwoods • arrangement execution • backing vector machine • choice tree • design acknowledgment • dimensionality decrease • discourse signal • discourse tests • exactness accuracy~5 • extricated highlights • fake neural • fluffy C implies • gullible Bayes • head part investigation • help vector machine • highlight determination calculation • highlight extraction • include choice • inertial estimation unit • informational index • invulnerable framework • man-made consciousness • mean outright mistake • molecule swarm • neural organization • prescient model • profound neural organization • recurrence space • sound individuals • square mistake • squared blunder • time and recurrence space • voice flag;Cabanac;Guillaume Cabanac
suspect, tortured;2021;chapter;Wiley;Machine Learning Approaches for Convergence of IoT and Blockchain;Innovative Ideas to Build Smart Cities with the Help of Machine and Deep Learning and IoT;0;0;44;computer-based intelligence • computerized reasoning • consideration instrument • convolution neural system • counterfeit neural • discourse acknowledgement OR discourse acknowledgment • discourse acknowledgment • hereditary programming • high-exactness • huge information • include descriptor • information mining • informational collection • informational index • keen city • machine insight • machine interpretation • man-made brainpower • man-made consciousness • man-made intelligence • man-made reasoning • move learning • picture handling • picture recognition • pre-prepared model • preparing information • profound model • shrewd city • shrewd lighting • unaided learning • vitality effective • vitality utilization • brilliant AND keen AND savvy AND shrewd • profound learning AND deep learning • picture acknowledgment AND image recognition;Cabanac;Guillaume Cabanac
suspect, tortured;2021;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2021 7th International Conference on Advanced Computing and Communication Systems (ICACCS);A Review on Deep Neural Network Design and Their Applications;1;0;44;actuation capacities • common language handling • completely associated layer • concealed layer • concentrate highlight • dimensionality decrease • direct blend • discourse acknowledgement OR discourse acknowledgment • discourse acknowledgment • discourse preparing • discourse record • discourse upgrade • down-examining • enactment capacities • feedforward neural organization • info and yield • info layer • information and yield layers • informational index • likelihood dissemination • machine interpretation • neural organization • outspread premise capacities • penmanship acknowledgment • picture handling • picture inscribing • picture preparing • picture recognition • preparation information • preparation informational index • preparation set • ravenous learning calculations • recognizable proof • repetitive neural organizations • shrouded layer • shrouded units • sigmoid capacity • unaided learning • yield layers • yield layer AND neural • profound learning AND deep learning • picture acknowledgment AND image recognition;Cabanac;Nerita Vitiensis
clayFeet, suspect, tortured;2020;article;Elsevier;Materials Today Proceedings;RETRACTED > A technical survey on various machine learning approaches for Parkinson’s disease classification;4;0;44;K-closest neighbors • Mel Recurrence Cepstral • Parkinson's ailment • Parkinson's illness • Parkinson's infection • Parkinson's malady • Parkinson's sickness • Wavelet change • administered learning • affectability and particularity • arbitrary backwoods • blunder rate • bolster vector machine • bunching clustering~20 • completely associated layer • component determination calculation • convolutional neural system • counterfeit neural • covered layer • discourse highlights • discourse impedance • discourse signal • enactment work • help vector machine • hereditary calculation • high-exactness • highlight extraction • inertial estimation unit • info layer • information and yield layers • informational collection • k-implies bunching • patient gathering • profound neural system • programmed ID • redressed straight unit • remove highlights • shrouded layer • sound individuals • yield layers • yield layer AND neural • profound learning AND deep learning;Cabanac;Guillaume Cabanac
